序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/24,"營利事業 捐贈收入",巨暉股份有限公司,84236509,30000,,是,
2,103/11/24,"營利事業 捐贈收入",億兆豐建設有限公司,53998550,60000,,是,臺中市大甲區
3,103/11/18,"營利事業 捐贈收入",巨基環保企業股份有限公司,27439476,50000,,是,屏東縣萬丹鄉
4,103/11/14,"營利事業 捐贈收入",太蓮國際股份有限公司,56680922,100000,,是,臺中市沙鹿區
5,103/11/13,"營利事業 捐贈收入",專明工業股份有限公司,89991412,20000,,是,臺中市大甲區
6,103/11/12,"營利事業 捐贈收入",民峰實業股份有限公司,22069853.,300000,,是,臺中市大甲區
7,103/11/11,"營利事業 捐贈收入",專明工業股份有限公司,89991412,20000,,是,臺中市大甲區
8,103/11/11,"營利事業 捐贈收入",維鎂科技工業有限公司,70684676,20000,,是,臺中市大甲區
9,103/11/11,"營利事業 捐贈收入",維格工業股份有限公司,56642152,60000,,是,臺中市大甲區
10,103/11/06,"營利事業 捐贈收入",宏昇水泥製品股份有限公司,84650111,200000,,是,臺中市大甲區
11,103/10/28,"營利事業 捐贈收入",集合成環保科技股份有限公司,70798937,100000,,是,彰化縣伸港鄉
12,103/10/28,"營利事業 捐贈收入",紅櫻花食品股份有限公司,28489375,200000,,是,臺北市大安區
13,103/10/27,"營利事業 捐贈收入",誠岱機械廠股份有限公司,05796772,100000,,是,臺中市大甲區
14,103/10/24,"營利事業 捐贈收入",協昌電機股份有限公司,23866292,16000,,是,臺中市大甲區
15,103/10/24,"營利事業 捐贈收入",展裕建設有限公司,54768970,50000,,是,臺中市外埔區
16,103/10/24,"營利事業 捐贈收入",勇輝營造股份有限公司,89369014,100000,,是,臺中市大甲區
17,103/10/14,"營利事業 捐贈收入",瑞興實業有限公司,79953797,50000,,是,臺中市豐原區
18,103/10/14,"營利事業 捐贈收入",川弘開發股份有限公司,80574577,100000,,是,臺中市清水區
