序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,"營利事業 捐贈收入",傑出外語升學文理補習班,76239952,10000,,是,高雄市苓雅區
2,103/11/28,"營利事業 捐贈收入",如欲企業有限公司,81267247,100000,,是,高雄市小港區
3,103/11/26,"營利事業 捐贈收入",盛倡興業股份有限公司,89495027,20000,,是,高雄市梓官區
4,103/11/14,"營利事業 捐贈收入",萬泰人力中介股份有限公司,89409212,60000,,是,高雄市建國一
5,103/11/12,"營利事業 捐贈收入",漢來美食股份有限公司,80352343,100000,,是,高雄市前金區
6,103/11/12,"營利事業 捐贈收入",漢神名店百貨股份有限公司,23827290,100000,,是,高雄市前金區
7,103/11/12,"營利事業 捐贈收入",國揚實業股份有限公司,11603817,100000,,是,臺北市中山區
8,103/11/07,"營利事業 捐贈收入",瑞儀科技照明企業行,10299367,10000,,是,高雄市苓雅區
9,103/10/30,"營利事業 捐贈收入",中大營造(股)公司,53298281,50000,,是,高雄市鼓山區
10,103/10/29,"營利事業 捐贈收入",中大營造股份有限公司,53298281,100000,,是,高雄市鼓山區
11,103/10/29,"營利事業 捐贈收入",木村屋食品股份有限公司,28228127,200000,,是,臺北市士林區
12,103/10/27,"營利事業 捐贈收入",龍巖股份有限公司,22415496,200000,,是,臺北市中山區
13,103/09/16,"營利事業 捐贈收入",十全媒體娛樂行銷股份有限公司,54346058,100000,,是,臺北市大安區
14,103/09/15,"營利事業 捐贈收入",郭元益食品股份有限公司,31264218,16300,,是,高雄市新興區
