序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/21,"營利事業 捐贈收入",昕煌鍛造工業有限公司,16731158,20000,,是,臺中市神岡區
2,103/11/19,"營利事業 捐贈收入",洽群機械股份有限公司,22999766,50000,,是,臺中市大雅區
3,103/11/16,"營利事業 捐贈收入",民峰實業股份有限公司,22069853,100000,,是,臺中市大甲區
4,103/11/16,"營利事業 捐贈收入",綺發機械工廠股份有限公司,55969432,100000,,是,臺中市神岡區
5,103/11/13,"營利事業 捐贈收入",永進營造股份有限公司,84160281,50000,,是,臺中市西屯區
6,103/11/10,"營利事業 捐贈收入",東海生物科技股份有限公司,56715605,200000,,是,臺中市梧棲區
7,103/10/27,"營利事業 捐贈收入",鴻鋅企業股份有限公司,55945299,50000,,是,臺中市神岡區
8,103/10/19,"營利事業 捐贈收入",建綸工業股份有限公司,55917511,5000,,是,臺中市北屯區
9,103/10/17,"營利事業 捐贈收入",永吉昌企業有限公司,86217204,20000,,是,臺中市西區南
10,103/10/16,"營利事業 捐贈收入",伯鑫工具股份有限公司,55982771,100000,,是,臺中市神岡區
11,103/09/30,"營利事業 捐贈收入",全聯富企業有限公司,80115546,60000,,是,臺中市大雅區
12,103/09/18,"營利事業 捐贈收入",晟溢建設有限公司,97480504,50000,,是,臺中市潭子區
13,103/09/16,"營利事業 捐贈收入",,86791592,20000,,是,臺中市大雅區
