序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,"營利事業 捐贈收入",宇祥營造股份有限公司,86364991,36000,,是,臺中市北區忠
2,103/11/27,"營利事業 捐贈收入",順龍實業股份有限公司,84896305,100000,,是,臺中市中區錦
3,103/11/27,"營利事業 捐贈收入",亞哥開發建設股份有限公司,80097245,50000,,是,臺中市北屯區
4,103/11/24,"營利事業 捐贈收入",嘉勝股份有限公司,53078651,20000,,是,臺中市神岡區
5,103/11/24,"營利事業 捐贈收入",永上企業社,14585460,6000,,是,臺中市西區中
6,103/11/21,"營利事業 捐贈收入",文相鐵工廠(股)公司,05693306,50000,,是,臺中市神岡區
7,103/11/17,"營利事業 捐贈收入",銀泰科技(股)公司,23700883,200000,,是,臺中市神岡區
8,103/11/17,"營利事業 捐贈收入",松采室內裝修設計有限公司,16865705,5000,,是,臺中市神岡區
9,103/11/17,"營利事業 捐贈收入",綺發機械工廠(股)公司,55969432,50000,,是,臺中市神岡區
10,103/11/13,"營利事業 捐贈收入",全允承有限公司,28154764,20000,,是,臺中市潭子區
11,103/11/10,"營利事業 捐贈收入",兆遠鋼鐵股份有限公司,16046066,20000,,是,臺中市神岡區
12,103/11/03,"營利事業 捐贈收入",伸太田工業(股)公司,55854972,20000,,是,臺中市神岡區
13,103/10/31,"營利事業 捐贈收入",丸榮機械股份有限公司,55978278,50000,,是,臺中市神岡區
14,103/10/31,"營利事業 捐贈收入",驊翔工業有限公司,70656022,20000,,是,臺中市大雅區
15,103/10/31,"營利事業 捐贈收入",鴻錩機械(股)公司,55936405,50000,,是,臺中市神岡區
16,103/10/24,"營利事業 捐贈收入",喬偉機械(股)有限公司,22942011,80000,,是,臺中市神岡區
17,103/10/24,"營利事業 捐贈收入",久鐵工業(股)有限公司,55653838,50000,,是,臺中市神岡區
18,103/10/24,"營利事業 捐贈收入",昕煌鍛造工業有限公司,16731158,60000,,是,臺中市神岡區
19,103/10/21,"營利事業 捐贈收入",錦興塑膠廠,55901721,100000,,是,臺中市神岡區
20,103/10/14,"營利事業 捐贈收入",臺灣櫻花股份有限公司,23113940,100000,,是,臺中市大雅區
21,103/10/14,"營利事業 捐贈收入",富田電機(股)公司,22802861,200000,,是,臺中市神岡區
22,103/10/15,"營利事業 捐贈收入",大鎮汽車貨運(股)公司,55864177,90000,,是,臺中市大雅區
23,103/10/16,"營利事業 捐贈收入",大銓汽車貨運(股)公司,55942498,90000,,是,臺中市大雅區
24,103/10/17,"營利事業 捐贈收入",旭正機械(股)有限公司,23405257,100000,,是,臺中市清水區
25,103/10/18,"營利事業 捐贈收入",豐卯貿易企業有限公司,25017627,20000,,是,臺中市神岡區
26,103/10/19,"營利事業 捐贈收入",伯鑫工具(股)公司,55982771,50000,,是,臺中市神岡區
