序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/23,"營利事業 捐贈收入",映山營造股份有限公司,22685245,50000,,是,臺中市梧棲區
2,103/11/08,"營利事業 捐贈收入",東海生物科技股份有限公司,56715605,200000,,是,臺中市梧棲區
3,103/11/07,"營利事業 捐贈收入",三華汽車駕駛人訓練班,95830110,20000,,是,臺中市沙鹿區
4,103/11/01,"營利事業 捐贈收入",帝崴企業股份有限公司,86084154,100000,,是,臺中市梧棲區
5,103/10/30,"營利事業 捐贈收入",信富紡織科技股份有限公司,86813619,100000,,是,臺中市清水區
6,103/10/30,"營利事業 捐贈收入",富宇紡織科技企業有限公司,53029836,100000,,是,臺中市清水區
7,103/10/30,"營利事業 捐贈收入",明源橡膠工業股份有限公司,56628573,100000,,是,臺中市梧棲區
8,103/10/25,"營利事業 捐贈收入",鐶琪塑膠股份有限公司,56651877,20000,,是,臺中市梧棲區
9,103/09/17,"營利事業 捐贈收入",岳華展光電股份有限公司,86988265,50000,,是,臺中市梧棲區
10,103/09/11,"營利事業 捐贈收入",岳華展光電股份有限公司,86988265,50000,,是,臺中市梧棲區
