序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,,"營利事業 捐贈收入",庭綠企業有限公司,28614660,20000,,是,
2,,"營利事業 捐贈收入",南友遊覽車汽車有限公司,89864582,10000,,是,
3,,"營利事業 捐贈收入",雙誠室內裝修設計坊,25492397,5000,,是,
4,,"營利事業 捐贈收入",松桀企業社,62989265,12000,,是,
5,,"營利事業 捐贈收入",寶麟寵物用品有限公司,97075717,6000,,是,
6,,"營利事業 捐贈收入",威阜國際股份有限公司,24459744,3000,,是,
7,,"營利事業 捐贈收入",聖萊西有限公司,54620082,6600,,是,
8,,"營利事業 捐贈收入",八犬國際行銷有限公司,53189050,10000,,是,
9,,"營利事業 捐贈收入",聯亨寵物貿易有限公司,27772958,50000,,是,新竹市板橋區
10,,"營利事業 捐贈收入",東盈實業股份有限公司,07228810,20000,,是,
11,,"營利事業 捐贈收入",阿曼特貿易有限公司,28365846,25000,,是,
12,,"營利事業 捐贈收入",魔法村寵物用品有限公司,53859558,25000,,是,
