序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/26,"營利事業 捐贈收入",勤陽建設有限公司,53783349,12000,,是,宜蘭縣冬山鄉
2,103/11/24,"營利事業 捐贈收入",力建實業社,77062566,2000,,是,宜蘭縣羅東鎮
3,103/11/22,"營利事業 捐贈收入",宜泰大飯店股份有限公司,89900932,10000,,是,宜蘭縣羅東鎮
4,103/11/19,"營利事業 捐贈收入",金是金股份有限公司,27855107,50000,,是,宜蘭縣員山鄉
5,103/11/19,"營利事業 捐贈收入",百樂食堂,92911069,10000,,是,宜蘭縣羅東鎮
6,103/11/18,"營利事業 捐贈收入",宜聯鋼鐵股份有限公司,42032010,10000,,是,宜蘭縣冬山鄉
7,103/11/18,"營利事業 捐贈收入",杏林老人長期照顧中心,37822345,10000,,是,宜蘭縣冬山鄉
8,103/11/17,"營利事業 捐贈收入",薛長興工業股份有限公司,41910405,100000,,是,宜蘭縣五結鄉
9,103/11/15,"營利事業 捐贈收入",鼎錄鋼鐵有限公司,22308806,20000,,是,宜蘭縣冬山鄉
10,103/11/14,"營利事業 捐贈收入",育霖幼兒園,02760224,6600,,是,宜蘭縣羅東鎮
11,103/11/13,"營利事業 捐贈收入",汎新企業股份有限公司,04980505,20000,,是,臺北市內湖區
12,103/11/13,"營利事業 捐贈收入",東技工業股份有限公司,42034376,30000,,是,宜蘭縣冬山鄉
13,103/11/07,"營利事業 捐贈收入",順品企業股份有限公司,42037612,20000,,是,宜蘭縣羅東鎮
14,103/11/07,"營利事業 捐贈收入",存仁堂中醫診所,09876615,50000,,是,宜蘭縣羅東鎮
15,103/11/07,"營利事業 捐贈收入",僑榮不動產,40973887,10000,,是,宜蘭縣羅東鎮
16,103/11/07,"營利事業 捐贈收入",僑富不動產,40973893,10000,,是,宜蘭縣羅東鎮
17,103/11/7,"營利事業 捐贈收入",活寶食品股份有限公司,40592607,20000,,是,宜蘭縣冬山鄉
18,103/11/02,"營利事業 捐贈收入",三建鋼鋁門窗有限公司,42027993,20000,,是,宜蘭縣五結鄉
