序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/26,"營利事業 捐贈收入",吉爾頓幼兒園,92088782,10000,,是,高雄市三民區
2,103/11/20,"營利事業 捐贈收入",停不下來音樂工作室,38473062,100000,,是,臺北市松山區
3,103/11/18,"營利事業 捐贈收入",全方位國際公寓大廈管理維護有限公司,53569621,20000,,是,
4,103/11/12,"營利事業 捐贈收入",漢來國際飯店股份有限公司,23827284,100000,,是,高雄市前金區
5,103/11/12,"營利事業 捐贈收入",崇神開發實業股份有限公司-高雄分公,28435462,100000,,是,高雄市左營區
6,130/11/11,"營利事業 捐贈收入",中央公寓大廈管理維護(股)公司,27698894,10000,,是,
7,103/11/04,"營利事業 捐贈收入",雄陽汽車有限公司,08879852,20000,,是,高雄市三民區
8,103/11/04,"營利事業 捐贈收入",健生外科診所,98584112,20000,,是,高雄市三民區
9,103/11/03,"營利事業 捐贈收入",雄輝工程有限公司,83409989,20000,,是,高雄市前鎮區
10,103/10/31,"營利事業 捐贈收入",中化興實業股份有限公司,89598234,100000,,是,臺北市松山區
11,103/09/12,"營利事業 捐贈收入",飛率企業,24508908,80000,,是,高雄市鼓山區
12,103/09/12,"營利事業 捐贈收入",俊志企業,89750434,70000,,是,高雄市鼓山區
13,103/09/12,"營利事業 捐贈收入",盛霆企業,53258577,50000,,是,高雄市鼓山區
14,103/08/04,"營利事業 捐贈收入",保進文教事業股份有限公司,54192119,20000,,是,高雄市左營區
15,103/07/16,"營利事業 捐贈收入",農橋企業股份有限公司,16121141,20000,,是,
