序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/25,"營利事業 捐贈收入",寬和股份有限公司,23959073,6000,,是,臺中市后里區
2,103/11/17,"營利事業 捐贈收入",主原木業股份有限公司,55957246,20000,,是,臺中市豐原區
3,103/11/09,"營利事業 捐贈收入",巧佳企業有限公司,89707198,50000,,是,臺中市后里區
4,103/11/05,"營利事業 捐贈收入",億典企業股份有限公司,55966110,100000,,是,臺中市豐原區
5,103/10/29,"營利事業 捐贈收入",宏僑營造有限公司,89795586,100000,,是,臺中市豐原區
6,103/10/26,"營利事業 捐贈收入",勇鼎科技股份有限公司,16706376,20000,,是,臺中市神岡區
7,103/10/24,"營利事業 捐贈收入",阡勝鋼鐵股份有限公司,86946863,300000,,是,臺中市后里區
8,103/10/15,"營利事業 捐贈收入",東順企業股份有限公司,55122695,100000,,是,臺中市后里區
9,103/10/15,"營利事業 捐贈收入",慧綺股份有限公司,31080915,100000,,是,臺北市士林區
10,103/10/07,"營利事業 捐贈收入",勝鑫鋼鐵股份有限公司,22579954,200000,,是,臺中市神岡區
11,103/10/07,"營利事業 捐贈收入",財石砂石有限公司,89701217,200000,,是,臺中市神岡區
12,103/09/25,"營利事業 捐贈收入",永元電機股份有限公司,22946163,100000,,是,豐洲里徥南路
13,103/09/12,"營利事業 捐贈收入",葫蘆墩開發建設有限公司,80321193,200000,,是,臺中市豐原區
14,103/09/12,"營利事業 捐贈收入",瑞興實業有限公司,79953797,200000,,是,臺中市豐原區
15,103/09/12,"營利事業 捐贈收入",英銓實業有限公司,84215482,200000,,是,臺中市北區大
