序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/14,"營利事業 捐贈收入",得堡企業股份有限公司,89650890,60000,,是,臺南市麻豆區
2,103/11/04,"營利事業 捐贈收入",帝固鑽石企業有限公司,69916513,50000,,是,臺南市七股區
3,103/11/03,"營利事業 捐贈收入",陞弘實業社,06652295,20000,,是,臺南市加里區
4,103/11/31,"營利事業 捐贈收入",企器工業股份有限公司,04486005,200000,,是,臺北市承德路
5,103/10/28,"營利事業 捐贈收入",森榮營造有限公司,81079386,100000,,是,高雄市鳳山區
6,103/10/22,"營利事業 捐贈收入",森榮營造有限公司,81079385,100000,,是,高雄市鳳山區
7,103/10/09,"營利事業 捐贈收入",奕豪企業有限公司,12930557,50000,,是,臺南市將軍區
8,103/10/08,"營利事業 捐贈收入",陳登發貿易股份有限公司,231057.8,60000,,是,臺南市永康區
9,103/10/07,"營利事業 捐贈收入",粨合科技實業有限公司,12802342,100000,,是,臺南市東區裕
10,103/10/01,"營利事業 捐贈收入",奕豪企業有限公司,12930557,70000,,是,臺南市將軍區
11,103/09/25,"營利事業 捐贈收入",奕豪企業有限公司,12930557,80000,,是,臺南市將軍區
12,103/09/15,"營利事業 捐贈收入",華寶樹脂化學工廠股份有限公司,74720139,100000,,是,臺南市加里區
13,103/07/25,"營利事業 捐贈收入",龍璟光電股份有限公司,53260460,250000,,是,臺南市永康區
