序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/26,"營利事業 捐贈收入",六甲包裹材料行,06547169,6045,,否,
2,103/11/26,"營利事業 捐贈收入",維爾康食品股份有限公司,53864356,50000,,是,臺南市下營區
3,103/11/24,"營利事業 捐贈收入",柳屋建設開發股份有限公司,86790208,100000,,是,臺南市麻豆區
4,103/11/17,"營利事業 捐贈收入",南六企業股份有限公司,75989858,210000,,否,高雄市橋頭區
5,103/11/17,"營利事業 捐贈收入",宏展瀝青有限公司,25170157,200000,,是,臺南市官田區
6,103/11/11,"營利事業 捐贈收入",南六企業股份有限公司,75989858,202440,,否,高雄市橋頭區
7,103/11/11,"營利事業 捐贈收入",正信興工業有限公司,89868139,4500,,否,臺南市麻豆區
8,103/11/10,"營利事業 捐贈收入",昆慶工程有限公司,34646872,50000,,是,新北市中和區
9,103/11/07,"營利事業 捐贈收入",大關廟食品行,14353243,20000,,是,臺南市龍崎區
10,103/11/04,"營利事業 捐贈收入",石山營造有限公司,12706164,100000,,是,臺中市南屯區
11,103/11/04,"營利事業 捐贈收入",和盛金屬家具有限公司,23174431,100000,,是,臺中市南區復
12,103/10/31,"營利事業 捐贈收入",明發石材行,06578373,10000,,否,臺南市六甲區
13,103/10/30,"營利事業 捐贈收入",融團老人長期照顧中心,74801646,20000,,是,臺南市官田區
14,103/10/30,"營利事業 捐贈收入",百分百實木傢俱有限公司,53188778,30000,,是,
15,103/10/29,"營利事業 捐贈收入",日塑實業有限公司,27482769,120000,,是,臺南市歸仁區
16,103/10/29,"營利事業 捐贈收入",鄉土資源回收有限公司,80550033,10000,,是,臺南市學甲區
17,103/10/25,"營利事業 捐贈收入",鄉土資源回收有限公司,80550033,5000,,否,臺南市學甲區
18,103/10/24,"營利事業 捐贈收入",融團老人長期照顧中心,74801646,10000,,是,臺南市官田區
19,103/10/24,"營利事業 捐贈收入",柳屋建設開發股份有限公司,86790209,100000,,是,臺南市麻豆區
20,103/10/24,"營利事業 捐贈收入",天美汽車有限公司,86576974,12000,,是,臺南市善化區
21,103/10/22,"營利事業 捐贈收入",泰慶皮革塑膠工業股份有限公司,72103650,21250,,否,臺南市麻豆區
22,103/10/22,"營利事業 捐贈收入",三益制動科技(股)公司,73005256,20000,,是,臺南市官田區
23,103/10/21,"營利事業 捐贈收入",南六企業股份有限公司,75989858,140280,,否,高雄市橋頭區
24,103/10/16,"營利事業 捐贈收入",星堡保全股份有限公司-嘉義分公司,22064323,30000,,是,嘉義市西區水
25,103/10/16,"營利事業 捐贈收入",昆慶工程有限公司,34646872,50000,,是,新北市中和區
26,103/10/16,"營利事業 捐贈收入",川陵實業有限公司,84980730,100000,,是,臺南市下營區
27,103/10/06,"營利事業 捐贈收入",橘華手套股份有限公司,97320943,20000,,是,臺南市麻豆區
28,103/09/30,"營利事業 捐贈收入",南六企業股份有限公司,75989858,300000,,是,高雄市橋頭區
29,103/08/26,"營利事業 捐贈收入",保昇旅行社有限公司,54076792,10000,,是,臺南市六甲區
