序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/22,"營利事業 捐贈收入",新寶元鋼鐵股份有限公司,80471489,20000,,是,宜蘭縣冬山鄉
2,103/11/19,"營利事業 捐贈收入",百樂食堂,92211069,10000,,是,宜蘭縣羅東鎮
3,103/11/18,"營利事業 捐贈收入",宜蘭餅食品有限公司,80059903,7200,,否,宜蘭縣羅東鎮
4,103/11/17,"營利事業 捐贈收入",億邦開發有限公司,27399690,60000,,是,宜蘭縣羅東鎮
5,103/11/16,"營利事業 捐贈收入",金門餐廳,77054448,30000,,是,宜蘭縣羅東鎮
6,103/11/16,"營利事業 捐贈收入",維揚福利事業股份有限公司,27421047,30000,,是,宜蘭縣羅東鎮
7,103/11/14,"營利事業 捐贈收入",欣億水電工程股份有限公司,42028206,5000,,是,宜蘭縣羅東鎮
8,103/11/13,"營利事業 捐贈收入",全揚塑膠企業股份有限公司,24637826,10000,,是,宜蘭縣五結鄉
9,103/11/12,"營利事業 捐贈收入",美欣建築企業社,39977956,20000,,是,宜蘭縣冬山鄉
10,103/11/11,"營利事業 捐贈收入",力建實業社,77062566,1000,,是,宜蘭縣羅東鎮
11,103/11/11,"營利事業 捐贈收入",文昌文具印刷廠,09755112,2000,,是,宜蘭縣羅東鎮
12,103/11/11,"營利事業 捐贈收入",安生藥局,26682199,2000,,是,宜蘭縣羅東鎮
13,103/11/11,"營利事業 捐贈收入",秋刀余空間設計,34791214,5000,,是,宜蘭縣冬山鄉
14,103/11/11,"營利事業 捐贈收入",泰豐建築企業社,26569210,20000,,是,
15,103/11/10,"營利事業 捐贈收入",必得企業社,26744499,10000,,是,新北市五股區
16,103/11/05,"營利事業 捐贈收入",泰悅建設實業社,30346135,30000,,是,宜蘭鄉羅東鎮
17,103/11/03,"營利事業 捐贈收入",義豐國際食品有限公司,53305826,50000,,是,宜蘭鄉羅東鎮
18,103/11/02,"營利事業 捐贈收入",順品企業股份有限公司,42037612,20000,,是,宜蘭鄉羅東鎮
19,103/10/31,"營利事業 捐贈收入",喬洲開發股份有限公司,40597700,100000,,是,宜蘭鄉冬山鎮
20,103/10/31,"營利事業 捐贈收入",進昇建設有限公司,80138843,20000,,是,宜蘭鄉羅東鎮
21,103/10/24,"營利事業 捐贈收入",高陞不動產,31738089,32000,,是,宜蘭縣羅東鎮
22,103/10/20,"營利事業 捐贈收入",永豐餘資源回收廠,09829043,3200,,否,宜蘭縣五結鄉
23,103/10/13,"營利事業 捐贈收入",群寶建設有限公司,53966109,20000,,是,宜蘭縣羅東鎮
