序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/10/30,"營利事業 捐贈收入",旭陽國際精機股份有限公司,29122919,100000,,是,臺中市豐原區
2,103/10/30,"營利事業 捐贈收入",旭陽國際精機股份有限公司,29122920,100000,,是,臺中市豐原區
3,103/10/30,"營利事業 捐贈收入",亞拓電器股份有限公司,55996796,100000,,是,臺中市豐原區
4,103/10/30,"營利事業 捐贈收入",亞拓電器股份有限公司,55996797,100000,,是,臺中市豐原區
5,103/10/30,"營利事業 捐贈收入",亞拓電器股份有限公司,55996798,100000,,是,臺中市豐原區
6,103/10/07,"營利事業 捐贈收入",拓凱實業股份有限公司,52590175,100000,,是,臺中市西屯區
7,103/10/07,"營利事業 捐贈收入",合美鮮花店,55079373,36000,,是,臺中市豐原區
8,103/10/01,"營利事業 捐贈收入",潭子蘭園有限公司,28953400,100000,,是,臺中市潭子區
9,103/09/30,"營利事業 捐贈收入",仲飲工程技術顧問有限公司,10367714,10000,,是,臺中市北屯區
10,103/09/26,"營利事業 捐贈收入",亞拓電器股份有限公司,55996796,100000,,是,臺中市豐原區
11,103/09/26,"營利事業 捐贈收入",亞拓電器股份有限公司,55996797,100000,,是,臺中市豐原區
12,103/09/26,"營利事業 捐贈收入",亞拓電器股份有限公司,55996798,100000,,是,臺中市豐原區
13,103/09/25,"營利事業 捐贈收入",旭陽國際精機股份有限公司,29122919,100000,,是,臺中市豐原區
14,103/09/25,"營利事業 捐贈收入",旭陽國際精機股份有限公司,29122920,100000,,是,臺中市豐原區
15,103/09/22,"營利事業 捐贈收入",佳豪建設,28069269,100000,,是,臺中市豐原區
16,103/09/18,"營利事業 捐贈收入",弘昇油漆股份有限公司,55920939,100000,,是,臺中市豐原區
17,103/09/16,"營利事業 捐贈收入",坤興營造股份有限公司,84415290,100000,,是,臺中市西屯區
18,103/09/16,"營利事業 捐贈收入",黎合發建設股份有限公司,86640027,100000,,是,臺中市西屯區
