序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/28,"營利事業 捐贈收入",尚彩有限公司,27457754,6000,,是,
2,103/11/21,"營利事業 捐贈收入",仲乾實業社,13926551,10000,,是,
3,103/11/20,"營利事業 捐贈收入",群山國際有限公司,53365128,10000,,是,
4,103/11/20,"營利事業 捐贈收入",芳源號營造股份有限公司,23560861,50000,,是,臺南市東區中
5,103/11/05,"營利事業 捐贈收入",永全汽車股份有限公司,97059625,10000,,是,
6,103/10/23,"營利事業 捐贈收入",興亨五金有限公司,27483459,10000,,是,臺南市明興區
7,103/10/20,"營利事業 捐贈收入",金登堡空調冷凍有限公司,13032130,100000,,是,臺南市安中區
8,103/10/16,"營利事業 捐贈收入",昭昇企業股份有限公司,23107200,10000,,是,臺南市永康區
9,103/10/06,"營利事業 捐贈收入",永全實業股份有限公司,24445377,10000,,是,臺南市仁德區
10,103/09/30,"營利事業 捐贈收入",金龍消防器材公司,69607811,10000,,是,臺南市東區崇
11,103/09/30,"營利事業 捐贈收入",寶慶機車材料行,08975187,10000,,是,臺南市仁德區
12,103/09/30,"營利事業 捐贈收入",順典企業有限公司,16509903,20000,,是,臺南市歸仁區
13,103/09/30,"營利事業 捐贈收入",駿昌交通有限公司,89539828,50000,,是,臺南市東區崇
14,103/09/26,"營利事業 捐贈收入",阿進仔海產店,13939752,50000,,是,臺南市小東路
15,103/09/16,"營利事業 捐贈收入",大成不銹鋼工業股份有限公司,22318348,100000,,是,臺南市仁德區
16,103/09/16,"營利事業 捐贈收入",銘興美術印刷有限公司,22236640,10000,,是,臺南市永康區
17,103/09/16,"營利事業 捐贈收入",毫乙紙品有限公司,54551965,10000,,是,臺南市裕忠路
18,103/09/16,"營利事業 捐贈收入",銘興美術印刷有限公司,22236640,10000,,是,臺南市永康區
19,103/09/09,"營利事業 捐贈收入",烟益五金廠,06447555,150000,,是,臺南市大武街
20,103/09/09,"營利事業 捐贈收入",榮良景觀有限公司,89555517,60000,,是,臺南市自由路
21,103/09/04,"營利事業 捐贈收入",榮興油漆工程行,08460836,100000,,是,臺南市永康區
22,103/09/04,"營利事業 捐贈收入",欣濠水電工程有限公司,16692675,20000,,是,
23,103/08/29,"營利事業 捐贈收入",葉信工業股份有限公司,22386942,10000,,是,忠義街號****
24,103/08/22,"營利事業 捐贈收入",摩朵國際(股)公司,54559880,20000,,是,臺南市東區崇
