序號,交易日期,收支科目,捐贈者/支出對象,身份證/統一編號,收入金額,支出金額,金錢類,地址
1,103/11/25,"營利事業 捐贈收入",保聯企業股份有限公司,22088063,20000,,是,臺中市豐原區
2,103/11/25,"營利事業 捐贈收入",中北塗料企業股份有限公司,55901476,30000,,是,臺中市豐原區
3,103/11/22,"營利事業 捐贈收入",上騰建設股份有限公司,28123073,50000,,是,臺中市豐原區
4,103/11/19,"營利事業 捐贈收入",進而發水電工程有限公司,86833306,12000,,是,臺中市豐原區
5,103/11/18,"營利事業 捐贈收入",柜倫企業有限公司,89548657,20000,,是,臺中市豐原區
6,103/11/13,"營利事業 捐贈收入",東元建材有限公司,86676903,20000,,是,臺中市后里區
7,103/11/12,"營利事業 捐贈收入",巨堡五金工業有限公司,28893023,20000,,是,臺中市后里區
8,103/11/11,"營利事業 捐贈收入",景耀實業有限公司,23800481,50000,,是,臺中市神岡區
9,103/11/10,"營利事業 捐贈收入",久鐵工業股份有限公司,55653638,50000,,是,臺中市神岡區
10,103/11/10,"營利事業 捐贈收入",巨簦企業股份有限公司,23959828,50000,,是,臺中市豐原區
11,103/11/07,"營利事業 捐贈收入",嘉益鋁業股份有限公司,55997606,10000,,是,臺中市豐原區
12,103/11/05,"營利事業 捐贈收入",泉美建設股份有限公司,96866430,50000,,是,臺中市北屯進
13,103/11/04,"營利事業 捐贈收入",清華建材有限公司,53519088,50000,,是,彰化縣秀水鄉
14,103/11/03,"營利事業 捐贈收入",久益汽車維修廠,21439604,20000,,是,臺中市豐原區
15,103/11/01,"營利事業 捐贈收入",鑫盛橡膠工業有限公司,70640900,5000,,是,臺中市豐原區
16,103/10/31,"營利事業 捐贈收入",芃昕興業有限公司,86365464,100000,,是,臺中市豐原區
17,103/10/29,"營利事業 捐贈收入",喬聖鋼鐵有限公司,84567367,36000,,是,臺中市神岡區
18,103/10/28,"營利事業 捐贈收入",威嘉貿易有限公司,53798151,20000,,是,臺中市神岡區
19,103/10/26,"營利事業 捐贈收入",永發企業社,90959381,5000,,是,臺中市神岡區
20,103/10/26,"營利事業 捐贈收入",華昌控制行,90947392,20000,,是,臺中市神岡區
21,103/10/26,"營利事業 捐贈收入",弘倫通訊有限公司,89691816,2000,,是,臺中市豐原區
22,103/10/26,"營利事業 捐贈收入",石崇企業有限公司,89564467,2000,,是,臺中市豐原區
23,103/10/26,"營利事業 捐贈收入",永愛工業有限公司,70616991,100000,,是,臺中市豐原區
24,103/10/26,"營利事業 捐贈收入",何宏明企業股份有限公司,55851671,20000,,是,臺中市豐原區
25,103/10/24,"營利事業 捐贈收入",哲勝股份有限公司,55974580,60000,,是,臺中市豐原區
26,103/10/23,"營利事業 捐贈收入",佳悅股份有限公司,84238653,6000,,是,臺中市豐原區
27,103/10/20,"營利事業 捐贈收入",耀振股份有限公司,89851904,120000,,是,臺中市豐原區
28,103/10/20,"營利事業 捐贈收入",有正精密工具廠,56809151,10000,,是,臺中市豐原區
29,103/10/17,"營利事業 捐贈收入",新虎將機械工業股份有限公司,89325570,168000,,是,臺中市外埔區
30,103/10/16,"營利事業 捐贈收入",均泰實業股份有限公司,84207722,100000,,是,臺中市豐原區
31,103/10/16,"營利事業 捐贈收入",久博企業有限公司,84812636,40000,,是,臺中市神岡區
32,103/10/16,"營利事業 捐贈收入",均泰實業股份有限公司,84207722,100000,,是,臺中市豐原區
33,103/10/16,"營利事業 捐贈收入",鋁台精機廠股份有限公司,56807040,100000,,是,臺中市神岡區
34,103/10/08,"營利事業 捐贈收入",益鋌企業有限公司,22924999,6000,,是,臺中市豐原區
35,103/09/25,"營利事業 捐贈收入",大熊建設有限公司,16074040,50000,,是,臺中市大里區
36,103/09/25,"營利事業 捐贈收入",領袖開發股份有限公司,16928722,30000,,是,臺中市西屯區
37,103/09/25,"營利事業 捐贈收入",懋榮建設股份有限公司,79995121,100000,,是,臺中市西屯區
38,103/09/25,"營利事業 捐贈收入",新富銘建設股份有限公司,28037247,50000,,是,臺中市豐原區
39,103/09/24,"營利事業 捐贈收入",真正好興業有限公司,86032831,20000,,是,臺中市豐原區
40,103/08/25,"營利事業 捐贈收入",虹翔保全股份有限公司,13075165,40000,,是,臺中市南區建
